sample1,concentration,metabolite
PosStdA,124892.0911,creatine
PosStdB,37467.62733,creatine
PosStdC,12489.20911,creatine
PosStdD,3746.762733,creatine
PosStdE,1248.920911,creatine
PosStdF,124.8920911,creatine
PosStdG,12.48920911,creatine
PosStdH,1.248920911,creatine
PosStdA,499790.0882,tryptophan
PosStdB,149937.0264,tryptophan
PosStdC,49979.00882,tryptophan
PosStdD,14993.70264,tryptophan
PosStdE,4997.900882,tryptophan
PosStdF,499.7900882,tryptophan
PosStdG,49.97900882,tryptophan
PosStdH,4.997900882,tryptophan
PosStdA,194553.2164,serotonin
PosStdB,58365.96491,serotonin
PosStdC,19455.32164,serotonin
PosStdD,5836.596491,serotonin
PosStdE,1945.532164,serotonin
PosStdF,194.5532164,serotonin
PosStdG,19.45532164,serotonin
PosStdH,1.945532164,serotonin
PosStdA,599.7481058,nms
PosStdB,179.9244317,nms
PosStdC,59.97481058,nms
PosStdD,17.99244317,nms
PosStdE,5.997481058,nms
PosStdF,0.599748106,nms
PosStdG,0.059974811,nms
PosStdH,0.005997481,nms
PosStdA,2498.950441,kynurenine
PosStdB,749.6851322,kynurenine
PosStdC,249.8950441,kynurenine
PosStdD,74.96851322,kynurenine
PosStdE,24.98950441,kynurenine
PosStdF,2.498950441,kynurenine
PosStdG,0.249895044,kynurenine
PosStdH,0.024989504,kynurenine
PosStdA,95.95969693,ipa
PosStdB,28.78790908,ipa
PosStdC,9.595969693,ipa
PosStdD,2.878790908,ipa
PosStdE,0.959596969,ipa
PosStdF,0.095959697,ipa
PosStdG,0.00959597,ipa
PosStdH,0.000959597,ipa
PosStdA,20616.34114,hippuricacid
PosStdB,6184.902341,hippuricacid
PosStdC,2061.634114,hippuricacid
PosStdD,618.4902341,hippuricacid
PosStdE,206.1634114,hippuricacid
PosStdF,20.61634114,hippuricacid
PosStdG,2.061634114,hippuricacid
PosStdH,0.206163411,hippuricacid
